Date,USD,BOV
4/5/2017,3.0956,64.77477
4/6/2017,3.1196,64.22272
4/7/2017,3.1415,64.59311
4/10/2017,3.1447,64.64982
4/11/2017,3.1318,64.35979
4/12/2017,3.1368,63.89168
4/13/2017,3.1235,62.82628
4/17/2017,3.1437,64.33493
4/18/2017,3.1303,64.15884
4/19/2017,3.1065,63.40697
4/20/2017,3.1483,63.76062
4/24/2017,3.1468,64.38902
4/25/2017,3.127,65.14835
4/26/2017,3.1472,64.86192
4/27/2017,3.1711,64.67655
4/28/2017,3.1811,65.40325
5/2/2017,3.1751,66.72175
5/3/2017,3.1502,66.09378
5/4/2017,3.1621,64.86261
5/5/2017,3.1849,65.70974
5/8/2017,3.1777,65.52605
5/9/2017,3.1964,66.27767
5/10/2017,3.1868,67.34973
5/11/2017,3.1657,67.53761
5/12/2017,3.139,68.22194
5/15/2017,3.1777,68.47419
5/16/2017,3.1082,68.6845
5/17/2017,3.0958,67.54025
5/18/2017,3.1334,61.59706
5/19/2017,3.369,62.63931
5/22/2017,3.2533,61.67349
5/23/2017,3.2654,62.66248
5/24/2017,3.2686,63.25736
5/25/2017,3.2742,63.22679
5/26/2017,3.2735,64.08541
5/29/2017,3.1777,63.76094
5/30/2017,3.2554,63.96226
5/31/2017,3.2562,62.71147
6/1/2017,3.2251,62.28852
6/2/2017,3.249,62.51069
6/5/2017,3.2492,62.45045
6/6/2017,3.2961,62.95469
6/7/2017,3.276,63.17073
6/8/2017,3.2673,62.75558
6/9/2017,3.2596,62.21056
6/12/2017,3.1777,61.70023
6/13/2017,3.3167,61.82899
6/14/2017,3.3144,61.92293
6/16/2017,3.2736,61.62641
6/19/2017,3.2886,62.01403
6/20/2017,3.2811,60.76616
6/21/2017,3.3255,60.76174
6/22/2017,3.3334,61.27222
6/23/2017,3.3397,61.08714
6/26/2017,3.3415,62.18809
6/27/2017,3.2948,61.67546
6/28/2017,3.312,62.01797
6/29/2017,3.2795,62.23896
6/30/2017,3.3027,62.89997
7/3/2017,3.1777,63.27958
7/4/2017,3.3005,63.23159
7/5/2017,3.3092,63.15417
7/6/2017,3.287,62.47033
7/7/2017,3.2973,62.3224
7/10/2017,3.1777,63.02547
7/11/2017,3.2537,63.83215
7/12/2017,3.2531,64.83555
7/13/2017,3.2068,65.17835
7/14/2017,3.21,65.43618
7/17/2017,3.1777,65.21231
7/18/2017,3.1812,65.33767
7/19/2017,3.1527,65.17992
7/20/2017,3.1477,64.93802
7/21/2017,3.1184,64.68418
7/24/2017,3.1777,65.09955
7/25/2017,3.1444,65.66763
7/26/2017,3.1712,65.01057
7/27/2017,3.1375,65.27738
7/28/2017,3.1526,65.49713
7/31/2017,3.1777,65.92036
8/1/2017,3.1258,66.51624
8/2/2017,3.1228,67.13599
8/3/2017,3.1122,66.77713
8/4/2017,3.1115,66.89799
8/7/2017,3.1293,67.93966
8/8/2017,3.1242,67.89894
8/9/2017,3.1259,67.67107
8/10/2017,3.1523,66.99209
8/11/2017,3.1736,67.35859
8/14/2017,3.1777,68.28466
8/15/2017,3.1872,68.35512
8/16/2017,3.1676,68.59429
8/17/2017,3.1514,67.9768
8/18/2017,3.1733,68.71466
8/21/2017,3.1777,68.63465
8/22/2017,3.163,70.01125
8/23/2017,3.1605,70.47763
8/24/2017,3.1393,71.1328
8/25/2017,3.1465,71.07365
8/28/2017,3.1587,71.01659
8/29/2017,3.1658,71.32985
8/30/2017,3.1642,70.88626
8/31/2017,3.1588,70.83505
9/1/2017,3.146,71.92311
9/4/2017,3.1777,72.12883
9/5/2017,3.1394,72.15088
9/6/2017,3.1158,73.41241
9/8/2017,3.0976,73.07885
9/11/2017,3.1777,74.31922
9/12/2017,3.0997,74.53855
9/13/2017,3.1219,74.78757
9/14/2017,3.1316,74.65668
9/15/2017,3.1181,75.75652
9/18/2017,3.1097,75.99041
9/19/2017,3.1349,75.97418
9/20/2017,3.1328,76.00415
9/21/2017,3.1306,75.60434
9/22/2017,3.1345,75.38975
9/25/2017,3.1235,74.44347
9/26/2017,3.1573,74.31872
9/27/2017,3.1639,73.79671
9/28/2017,3.1919,73.56725
9/29/2017,3.1809,74.29351
10/2/2017,3.1634,74.35983
10/3/2017,3.1529,76.76291
10/4/2017,3.1408,76.59144
10/5/2017,3.1332,76.61753
10/6/2017,3.1524,76.05472
10/9/2017,3.1555,75.72681
10/10/2017,3.1868,76.89721
10/11/2017,3.1778,76.6598
10/13/2017,3.169,76.98979
10/16/2017,3.1462,76.89184
10/17/2017,3.1703,76.20125
10/18/2017,3.1561,76.59109
10/19/2017,3.1701,76.28316
10/20/2017,3.1649,76.39051
10/23/2017,3.1909,75.41313
10/24/2017,3.2344,76.35019
10/25/2017,3.2426,76.67113
10/26/2017,3.2312,75.89635
10/27/2017,3.2865,75.97571
10/30/2017,3.2348,74.80033
10/31/2017,3.2873,74.30849
11/1/2017,3.2696,73.82374
11/3/2017,3.2646,73.91543
11/6/2017,3.2926,74.31079
11/7/2017,3.2479,72.41488
11/8/2017,3.2701,74.36313
11/9/2017,3.2513,72.93069
11/10/2017,3.2487,72.16564
11/13/2017,3.2764,72.47517
11/14/2017,3.2759,70.82659
11/16/2017,3.31,72.51179
11/17/2017,3.2706,73.43728
11/21/2017,3.254,74.59461
11/22/2017,3.2573,74.51879
11/23/2017,3.2229,74.48658
11/24/2017,3.2203,74.15737
11/27/2017,3.2329,74.05892
11/28/2017,3.2264,74.13972
11/29/2017,3.2097,72.70045
11/30/2017,3.2448,71.97099
12/1/2017,3.2712,72.26445
12/4/2017,3.2574,73.09017
12/5/2017,3.2426,72.54617
12/6/2017,3.2403,73.26835
12/7/2017,3.2343,72.48746
12/8/2017,3.2872,72.73184
12/11/2017,3.2878,72.80004
12/12/2017,3.3033,73.81353
12/13/2017,3.3031,72.91433
12/14/2017,3.3086,72.42893
12/15/2017,3.3404,72.6077
12/18/2017,3.292,73.11545
12/19/2017,3.2905,72.68037
12/20/2017,3.2885,73.36703
12/21/2017,3.2965,75.13343
12/22/2017,3.3068,75.18653
12/26/2017,3.3355,75.70773
12/27/2017,3.3097,76.07254
12/28/2017,3.3133,76.40208
1/2/2018,3.311,77.89104
1/3/2018,3.2578,77.99516
1/4/2018,3.2355,78.64742
1/5/2018,3.2331,79.07147
1/8/2018,3.2266,79.37854
1/9/2018,3.239,78.86354
1/10/2018,3.2468,78.20057
1/11/2018,3.2264,79.36544
1/12/2018,3.2142,79.34912
1/15/2018,3.2007,79.75237
1/16/2018,3.2132,79.83176
1/17/2018,3.2227,81.18916
1/18/2018,3.2222,80.96265
1/19/2018,3.2051,81.2195
1/22/2018,3.1947,81.67542
1/23/2018,3.2007,80.64343
1/24/2018,3.2355,83.68
1/26/2018,3.1469,85.53084
1/29/2018,3.151,84.69801
1/30/2018,3.1536,84.48246
1/31/2018,3.1795,84.9127
2/1/2018,3.1847,85.49524
2/2/2018,3.1637,84.04134
2/5/2018,3.2154,81.86109
2/6/2018,3.2611,83.89404
2/7/2018,3.2334,82.76673
2/8/2018,3.2699,81.53253
2/9/2018,3.2846,80.8987
2/14/2018,3.2942,83.54284
2/15/2018,3.2162,84.29057
2/16/2018,3.2264,84.52458
2/19/2018,3.2282,84.79271
2/20/2018,3.2331,85.80396
2/21/2018,3.2543,86.05182
2/22/2018,3.2676,86.68645
2/23/2018,3.2487,87.29324
2/26/2018,3.2372,87.65264
2/27/2018,3.2225,86.93544
2/28/2018,3.2485,85.3536
3/1/2018,3.2448,85.37779
3/2/2018,3.25,85.76134
